,track_id,track_name,artists,track_genre,popularity,energy,tempo,valence,danceability,loudness,intensity,cluster
9,7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,acoustic,56,0.632,78.899,0.196,0.442,-6.77,{0},43
76,2SkJKMfjpYsNv0KWOxiegX,Kaleidoscope,A Great Big World,acoustic,62,0.913,108.024,0.519,0.709,-5.148,{1},43
79,7BXW1QCg56yzEBV8pW8pah,Have It All,Jason Mraz,acoustic,65,0.638,82.001,0.6,0.643,-4.947,{0},43
89,0qJGlogD7AyMLAJfQ42aI2,Heaven Knows,Five For Fighting,acoustic,62,0.845,97.631,0.392,0.6,-7.076,{1},43
98,7DYsBLdOqz0z14tYWMt2Tn,Hold On,KT Tunstall,acoustic,0,0.937,105.549,0.805,0.661,-5.157,{1},43
99,7cPuE0M35EajWPRO3nRcH8,Suddenly I See,KT Tunstall,acoustic,0,0.78,100.499,0.693,0.603,-5.531,{1},43
103,1PR5pyPiOEEQ02oJYq402x,Mirrors,Boyce Avenue;Fifth Harmony,acoustic,57,0.658,76.971,0.683,0.545,-7.174,{0},43
108,0ltIx8PLjtWoS9zn9PqsZW,Hikare Inochi,Kitri,acoustic,51,0.769,102.033,0.385,0.592,-5.268,{1},43
131,6R6ux6KaKrhAg2EIB2krdU,Without You,Parachute,acoustic,61,0.864,95.984,0.534,0.564,-5.121,{1},43
133,1Qo3taHLFSQpzLm5Sty7M4,Sleep All Day,Jason Mraz,acoustic,22,0.81,97.994,0.79,0.616,-6.51,{1},43
134,71M4QMn8nrok1KFVXwEEyU,You and I Both,Jason Mraz,acoustic,35,0.812,98.954,0.74,0.615,-6.573,{1},43
137,5p9XWUdvbUzmPCukOmwoU3,Suddenly I See,KT Tunstall,acoustic,73,0.767,100.38,0.664,0.587,-5.713,{1},43
139,6twvFrIoIINH8UW8EB8OnU,No Stopping Us,Jason Mraz,acoustic,19,0.836,105.991,0.727,0.646,-6.203,{1},43
142,73CbJykoV6WapWGfTeRzTl,The Remedy (I Won't Worry),Jason Mraz,acoustic,35,0.867,94.52,0.795,0.589,-4.523,{1},43
143,3ixLIO5BsTmic0Pp27FaPY,Too Much Food,Jason Mraz,acoustic,20,0.926,99.997,0.548,0.626,-4.441,{1},43
145,73oHkllHIT8fdbzpxiXW40,"On Love, in Sadness",Jason Mraz,acoustic,19,0.832,100.957,0.802,0.56,-5.595,{1},43
148,14vExHBkh1prEAN94wZug8,"Tonight, Not Again",Jason Mraz,acoustic,18,0.805,102.44,0.359,0.595,-7.926,{1},43
159,7njTGO45SkaBTNu35t2Yq0,No Direction,Rachael Yamagata,acoustic,47,0.821,111.958,0.613,0.654,-5.472,{1},43
184,3NCg46FWgnANZc9HQHQOQR,Forever And Always,Parachute,acoustic,57,0.716,93.924,0.435,0.657,-5.675,{1},43
204,3rzRo91l4htQvMXhsiECAX,Higher Love,Todd Carey;Ariza;Chuck Leavell,acoustic,30,0.763,96.808,0.394,0.578,-4.824,{1},43
220,5pEmeoMUW38w1oU3kPelvR,Spectrum,Andrew Belle,acoustic,54,0.717,117.973,0.212,0.539,-7.385,{1},43
243,3M6NL7PxIDZ3ArfPrBUTUP,Flurry Rush,Days N Daze,acoustic,37,0.674,87.603,0.92,0.371,-3.72,{0},43
247,5DUAKXpyv3nL50PnAQbPS0,Fuck You,Get Dead,acoustic,36,0.917,117.875,0.936,0.608,-5.341,{1},43
258,5MYPzdIWgx3pMLRGlq2fVq,Asan Ka Na Ba,Zack Tabudlo,acoustic,73,0.768,105.999,0.493,0.676,-5.695,{1},43
266,1nFJAKHt0jgzVogbNJT3Zz,Ocean,Parachute,acoustic,48,0.711,119.989,0.352,0.662,-4.924,{1},43
278,4ngv7whSPSAwD8ZP3zMHsd,The Worth Of The Wait,Ivan & Alyosha,acoustic,55,0.618,82.051,0.344,0.48,-7.335,{0},43
298,1MGIxsVtqK2npdPmI8Dj0D,Goodbye Lulu,Days N Daze,acoustic,35,0.839,87.609,0.967,0.544,-8.991,"{0, 1}",43
299,4M4suTUnAYZocl09XEKBZN,Three More Days,Ray LaMontagne,acoustic,36,0.68,84.518,0.903,0.555,-8.358,{0},43
311,4WtqjjSiGYHORMr6VX3td1,Hikare Inochi,Kitri,acoustic,41,0.769,102.033,0.385,0.592,-5.268,{1},43
316,5dH4xnErpUOIDrGySWGkfJ,Stars Are on Your Side,Ross Copperman,acoustic,49,0.625,84.611,0.191,0.255,-8.31,{0},43
321,24Gm1mIhO28NmgT17S95JE,KISSして,Masaharu Fukuyama,acoustic,35,0.851,93.873,0.644,0.467,-4.203,{1},43
332,4NxUuupOGPquDhy1yFIZK3,The Lotto,Ingrid Michaelson;AJR,acoustic,59,0.748,88.944,0.872,0.687,-4.54,"{0, 1}",43
339,5PCwedwyeLZQ6xAUIKbwos,Perfect Man,Front Porch Step,acoustic,32,0.704,117.086,0.338,0.574,-4.65,{1},43
340,32kyGOJpEOTFKR9wvPSsxJ,あ。っという間はあるさ,Takehara Pistol,acoustic,33,0.895,115.941,0.94,0.64,-3.068,{1},43
343,37jsciEAFxwyjXx0kV6aO6,A Month from Now,Rail Yard Ghosts,acoustic,34,0.619,77.009,0.739,0.415,-7.624,{0},43
365,3XdStlaHnq3JrmQDCRqEET,アジアの純真,Yosui Inoue;Tamio Okuda,acoustic,32,0.83,111.664,0.871,0.732,-6.63,{1},43
379,0IZJR2XrPdWqHdnpaPixw9,Heart (Original Version),Masaharu Fukuyama,acoustic,34,0.842,97.013,0.693,0.587,-6.04,{1},43
387,2jcDDdBy1foaBC8X9owMrZ,HELLO (Original Version),Masaharu Fukuyama,acoustic,34,0.861,77.983,0.511,0.569,-4.547,{0},43
390,2lXGLbSXrSACMa2oelt4TE,明日天気になれ,Hanare Gumi,acoustic,33,0.705,111.204,0.621,0.608,-5.178,{1},43
391,6uZroCk7E7L7RhY7NAvC3Y,IT'S ONLY LOVE,Masaharu Fukuyama,acoustic,34,0.734,117.84,0.413,0.585,-5.365,{1},43
